Time;Queue size: 0;Queue size: 1;Queue size: 2;Queue size: 3;Queue size: 4;Queue size: 5
5.6000000000000005;1.0;0.22191189237225584;0.11969896292380677;0.060145982931465114;0.028142746772661154;0.012260807504253846
5.7;1.0;0.23148029266397963;0.12645334779213024;0.064429417169375;0.03060295943138347;0.013547749575254842
5.800000000000001;1.0;0.24160858938989271;0.1336703032926606;0.06905364532305835;0.033289532855722004;0.014970893458451151
5.9;1.0;0.252285034636615;0.1413510804037641;0.07402597075558681;0.03621142311179015;0.016538116001425407
6.0;1.0;0.2634954661287813;0.14949600284662268;0.07935333514847764;0.039377557580493106;0.018257469295939632
6.1000000000000005;1.0;0.2752230869179604;0.15810430023251587;0.08504224937084426;0.042796794115454784;0.020137156325105154
6.2;1.0;0.2874483385102269;0.1671739365727405;0.09109871511960743;0.046477877739070084;0.022185505174957543
6.300000000000001;1.0;0.3000877409048186;0.17665609593984566;0.0974978555114846;0.05041098878999006;0.024400699960442696
6.4;1.0;0.31305466709933616;0.18649849893120984;0.10421183974334225;0.054584066320168434;0.026779463810745918
6.5;1.0;0.3262611532595294;0.19664629774856368;0.11121034501986604;0.058983007487946826;0.029317101241249754
6.6000000000000005;1.0;0.3396196528215577;0.20704296336383743;0.11846101518902807;0.06359187865343896;0.03200755641750086
6.7;1.0;0.35304468303537806;0.2176311547318276;0.12592991283556254;0.06839313473098763;0.03484348604598808
6.800000000000001;1.0;0.36645431553149965;0.2283535594753786;0.13358196311514503;0.07336784439624855;0.03781634565600911
6.9;1.0;0.37977146982221743;0.23915369435060274;0.14138138820551616;0.07849591952122559;0.04091648805559578
7.0;1.0;0.3929249791073559;0.24997665279762304;0.14929213103253902;0.08375634766810791;0.044133272739929286
7.1000000000000005;1.0;0.4058504100202107;0.2607697865272085;0.15727826613628415;0.08912742660600725;0.04745518499308954
7.2;1.0;0.4184906306934345;0.27148330869856807;0.1653043944648408;0.09458699966069106;0.05086996334780458
7.300000000000001;1.0;0.43079613356860125;0.28207080789879846;0.17333601781046049;0.10011269033776116;0.054364733953064626
7.4;1.0;0.4427251297937156;0.29248966473734106;0.18133988777793597;0.10568213416805561;0.05792615025256642
7.5;1.0;0.45424344023458074;0.30270136617533616;0.1892843237696653;0.11127320521146256;0.061540536210885066
7.6000000000000005;1.0;0.46532421376703703;0.3126717163960111;0.19713949457111968;0.11686423421643366;0.06519403115720968
7.7;1.0;0.4759475065983363;0.3223709467437388;0.20487765872702246;0.12243421514396102;0.06887273416982442
7.800000000000001;1.0;0.48609975709439246;0.33177373070082417;0.21247335994574035;0.12796299667771005;0.07256284582001826
7.9;1.0;0.49577318933064807;0.34085911278138004;0.21990357514172376;0.13343145547861002;0.07625080505118653
