Time;At least denials: 0;At least denials: 1;At least denials: 2;At least denials: 3;At least denials: 4;At least denials: 5
14.0;1.0;0.8246805820667613;0.7153344225008781;0.5981680828330435;0.4818181313073605;0.3735777438395259
14.100000000000001;1.0;0.8270540052201295;0.7185805336403659;0.6020161774850631;0.4859411698754178;0.37765599137907424
14.200000000000001;1.0;0.8293379837136174;0.7217178344332299;0.6057510455285604;0.48995852021518915;0.3816444966145556
14.3;1.0;0.8315389250361117;0.7247532519153896;0.609379379080498;0.49387615400111506;0.385548180099508
14.4;1.0;0.8336626271011583;0.727693074210973;0.6129072392483834;0.4976994573252239;0.3893714605918547
14.5;1.0;0.835714356390426;0.7305430379598319;0.6163401476560215;0.5014333187248787;0.39311833210228786
14.600000000000001;1.0;0.8376989126197956;0.7333083998097258;0.6196831609888395;0.5050822008599846;0.3967924266427657
14.700000000000001;1.0;0.8396206827958912;0.7359939953864447;0.6229409321750279;0.5086501993055966;0.4003970657088576
14.8;1.0;0.8414836868387694;0.7386042883442467;0.6261177609624604;0.5121410911041525;0.40393530280667844
14.9;1.0;0.8432916164348665;0.7411434114965821;0.629217636016359;0.5155583751130187;0.4074099588007123
15.0;1.0;0.8450478684035978;0.7436152015760716;0.6322442701877813;0.5189053057286103;0.41082365146048305
15.100000000000001;1.0;0.8467555735757463;0.7460232288324378;0.6352011302448227;0.5221849212261183;0.4141788202846557
15.200000000000001;1.0;0.8485883924837556;0.7486116251440822;0.6383871480916855;0.5257280292436981;0.4178132643366619
15.3;1.0;0.8505398650581042;0.7513714137586708;0.641792064620088;0.5295244101861605;0.42171787790949333
15.4;1.0;0.852603676814133;0.7542937464757884;0.6454056884839434;0.5335638474635322;0.42588351122206003
15.5;1.0;0.854773676597937;0.7573699335888886;0.64921793104081;0.5378361607073133;0.43030099782481834
15.600000000000001;1.0;0.8570438558676017;0.760591457463914;0.6532188259936373;0.5423312256133179;0.4349611708951854
15.700000000000001;1.0;0.859408307490569;0.7639499727452095;0.6573985385945141;0.5470389846832022;0.43985487199455764
15.8;1.0;0.8618611767083442;0.7674372964060496;0.6617473678763741;0.551949452114938;0.4449729550134691
15.9;1.0;0.8643966128312018;0.7710453907867996;0.66625574438679;0.5570527152492228;0.45030628735123746
16.0;1.0;0.8670087271297162;0.7747663424978374;0.670914225197057;0.5623389342985817;0.4558457498304589
16.1;1.0;0.869691560083266;0.7785923396877173;0.675713487465784;0.5677983415496352;0.46158223641084895
16.2;1.0;0.8724390594618401;0.7825156497481836;0.6806443214875391;0.5734212408162642;0.46750665442195094
16.3;1.0;0.8752313320243167;0.7865089825374659;0.6856729697389271;0.5791698931157686;0.47358030367451764
16.400000000000002;1.0;0.8780490142500843;0.7905459032129647;0.6907666498682647;0.5850074168824155;0.4797650765933007
16.5;1.0;0.8808735918041588;0.7946012339183719;0.6958940703811108;0.59089838777171;0.48602409121619405
16.6;1.0;0.8836876662192475;0.7986513707371181;0.7010258360578835;0.5968093186067631;0.4923222071344031
16.7;1.0;0.8864751679396835;0.8026745202615688;0.7061347477769447;0.602709022705353;0.4986264261692127
16.8;1.0;0.8892215161850612;0.8066508624247812;0.7111960051646478;0.6085688683185504;0.5049061842183455
16.900000000000002;1.0;0.8919137273953367;0.8105626476297343;0.716187322982275;0.6143629350736415;0.5111335440451286
17.0;1.0;0.894540475256784;0.8143942368572074;0.7210889735067487;0.620068085234037;0.5172833009035083
17.1;1.0;0.8970921064134665;0.8181320935162284;0.7258837675478027;0.6256639634256711;0.5233330139391014
17.2;1.0;0.8995606168794668;0.8217647354880073;0.7305569863803227;0.6311329384327685;0.5292629764701016
17.3;1.0;0.9019395948343256;0.8252826552488378;0.7350962759723856;0.6364599999503391;0.535056137736708
17.400000000000002;1.0;0.9042241358793675;0.8286782152521697;0.739491513656672;0.6416326220047974;0.5406979877135223
17.5;1.0;0.9064107369498504;0.8319455249860994;0.7437346559952764;0.6466406033048835;0.5461764152862671
17.6;1.0;0.9084971749329099;0.8350803053531667;0.7478195751589801;0.6514758932192317;0.5514815486540018
17.7;1.0;0.9104823756679125;0.838079745275675;0.7517418897776399;0.6561324105165133;0.5566055853503971
17.8;1.0;0.9123662784507854;0.8409423547270893;0.7554987949795813;0.6606058605365199;0.5615426178702393
17.900000000000002;1.0;0.9141497004807061;0.8436678177338774;0.7590888952566337;0.6648935551418251;0.5662884595985384
18.0;1.0;0.915834204930958;0.8462568482828934;0.7625120428771159;0.6689942386591641;0.5708404746031532
