time,expected
21.379,0.11735945738259707
21.38,0.11735944227205665
21.381,0.11735942712743586
21.382,0.11735941194862812
21.383,0.11735939673552775
21.384,0.11735938148802966
21.385,0.11735936620602945
21.386,0.11735935088942313
21.387,0.11735933553810757
21.388,0.11735932015198029
21.389,0.11735930473093949
21.39,0.11735928927488387
21.391000000000002,0.11735927378371279
21.392,0.11735925825732654
21.393,0.11735924269562553
21.394000000000002,0.11735922709851145
21.395,0.11735921146588607
21.396,0.11735919579765236
21.397000000000002,0.11735918009371339
21.398,0.11735916435397317
21.399,0.11735914857833651
21.400000000000002,0.11735913276670842
21.401,0.11735911691899509
21.402,0.1173591010351029
21.403,0.11735908511493941
21.404,0.1173590691584121
21.405,0.11735905316542977
21.406,0.11735903713590157
21.407,0.11735902106973738
21.408,0.11735900496684763
21.409,0.11735898882714355
21.41,0.11735897265053682
21.411,0.11735895643694016
21.412,0.11735894018626648
21.413,0.1173589238984297
21.414,0.11735890757334412
21.415,0.11735889121092487
21.416,0.11735887481108775
21.417,0.11735885837374914
21.418,0.11735884189882596
21.419,0.1173588253862362
21.42,0.117358808835898
21.421,0.11735879224773049
21.422,0.11735877562165327
21.423000000000002,0.11735875895758677
21.424,0.11735874225545193
21.425,0.11735872551517033
21.426000000000002,0.11735870873666439
21.427,0.11735869191985704
21.428,0.11735867506467194
21.429000000000002,0.11735865817103325
21.43,0.11735864123886602
21.431,0.11735862426809578
21.432000000000002,0.1173586072586488
21.433,0.11735859021045203
21.434,0.11735857312343297
21.435,0.11735855599751992
21.436,0.11735853883264166
21.437,0.11735852162872783
21.438,0.11735850438570856
21.439,0.11735848710351476
21.44,0.11735846978207791
21.441,0.11735845242133013
21.442,0.11735843502120438
21.443,0.1173584175816341
21.444,0.11735840010255343
21.445,0.11735838258389719
21.446,0.11735836502560078
21.447,0.1173583474276004
21.448,0.11735832978983274
21.449,0.11735831211223542
21.45,0.11735829439474632
21.451,0.11735827663730442
21.452,0.117358258839849
21.453,0.11735824100232001
21.454,0.11735822312465846
21.455000000000002,0.11735820520680561
21.456,0.11735818724870346
21.457,0.11735816925029484
21.458000000000002,0.11735815121152295
21.459,0.117358133132332
21.46,0.11735811501266659
21.461000000000002,0.11735809685247196
21.462,0.11735807865169427
21.463,0.11735806041028009
21.464000000000002,0.1173580421281768
21.465,0.11735802380533226
21.466,0.11735800544169515
21.467,0.11735798703721477
21.468,0.11735796859184104
21.469,0.11735795010552458
21.47,0.11735793157821672
21.471,0.11735791300986921
21.472,0.11735789440043476
21.473,0.1173578757498665
21.474,0.11735785705811835
21.475,0.1173578383251448
21.476,0.11735781955090123
21.477,0.11735780073534317
21.478,0.11735778187842742
21.479,0.11735776298011105
21.48,0.11735774404035189
21.481,0.11735772505910827
21.482,0.11735770603633938
21.483,0.11735768697200515
21.484,0.11735766786606584
21.485,0.11735764871848255
21.486,0.11735762952921715
21.487000000000002,0.11735761029823187
21.488,0.11735759102548982
21.489,0.11735757171095472
21.490000000000002,0.11735755235459097
21.491,0.11735753295636342
21.492,0.11735751351623787
21.493000000000002,0.1173574940341805
21.494,0.11735747451015828
21.495,0.11735745494413904
21.496000000000002,0.11735743533609069
21.497,0.11735741568598243
21.498,0.11735739599378368
21.499,0.11735737625946462
21.5,0.11735735648299614
21.501,0.11735733666434987
21.502,0.11735731680349769
21.503,0.11735729690041262
21.504,0.117357276955068
21.505,0.11735725696743798
21.506,0.11735723693749726
21.507,0.11735721686522127
21.508,0.11735719675058603
21.509,0.1173571765935682
21.51,0.11735715639414508
21.511,0.11735713615229465
21.512,0.11735711586799556
21.513,0.11735709554122706
21.514,0.11735707517196893
21.515,0.11735705476020178
21.516000000000002,0.11735703430590688
21.517,0.11735701380906592
21.518,0.11735699326966145
21.519000000000002,0.11735697268767649
21.52,0.11735695206309474
21.521,0.11735693139590075
21.522000000000002,0.11735691068607941
21.523,0.11735688993361645
21.524,0.11735686913849806
21.525000000000002,0.11735684830071129
21.526,0.1173568274202436
21.527,0.11735680649708329
21.528,0.1173567855312191
21.529,0.11735676452264059
